"EntraIDOperationName","MicrosoftGraphRequestUri","RequestMethod","EntraIDOperationVersion"
"Resolve PIM alert","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Resolve PIM alert","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Resolve PIM alert","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Self-service password reset flow activity progress","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"Self-service password reset flow activity progress","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"Set device registration policies","https://graph.microsoft.com/beta/policies/deviceRegistrationPolicy","PUT","1.0"
"Triggered PIM alert","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Triggered PIM alert","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Triggered PIM alert","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Unlock user account (self-service)","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"Unlock user account (self-service)","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"Update access package assignment policy","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Update access package assignment policy","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/v1.0/identityGovernance/entitlementManagement/assignmentRequests","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Update access package catalog","https://graph.microsoft.com/beta/roleManagement/directory/checkAccess","POST","1.0"
"Update application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing","PATCH","1.0"
"Update application","https://graph.microsoft.com/beta/applications/<UUID>/connectorGroup/$ref","PUT","1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments","POST","1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments('<UUID>')","DELETE","1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments('<UUID>')","PATCH","1.0"
"Update AuthenticationContextClassReference","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationContextClassReferences/c<ID>","PATCH","1.0"
"Update business flow","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Update conditional access policy","https://graph.microsoft.com/beta/identity/conditionalaccess/policies/<UUID>","PATCH","1.0"
"Update conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies/<UUID>","PATCH","1.0"
"Update conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies/<UUID>","PATCH","1.0"
"Update device local administrator password","https://graph.microsoft.com/beta/devices/<UUID>","PATCH","1.0"
"Update IdentityProtectionPolicy","https://graph.microsoft.com/beta/identityProtection/policy","PATCH","1.0"
"Update named location","https://graph.microsoft.com/beta/conditionalAccess/namedLocations/<UUID>","PUT","1.0"
"Update security defaults","https://graph.microsoft.com/v1.0/policies/<ID>","PATCH","1.0"
"User changed default security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"User changed default security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"User deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>","DELETE","1.0"
"User deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"User deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"User deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods/<UUID>","DELETE","1.0"
"User registered all required security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"User registered all required security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"User registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"User registered security info","https://graph.microsoft.com/v1.0/users/<UPN>/authentication/temporaryAccessPassMethods","POST","1.0"
"User registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods/<UUID>/disableSmsSignIn","POST","1.0"
